X,Y,x_lorenz
1.0,0.0,1.0
1.0009560909793918,0.03786516677728927,2.1332008135700065
1.0157882216467742,0.33068769131735265,6.543100461462824
1.0910863181924515,1.3434563066271774,16.686069021087107
1.308966741318886,2.959766732918292,15.363926902046895
1.632912849584925,3.215064309342768,1.1962695849243692
1.909505206301513,2.2055194916977987,-4.833983129243617
2.066197313103776,0.9364933415567153,-7.049833644013522
2.102306925657172,-0.17964914811632476,-8.635974951781701
2.0369137849364525,-1.0974340607158688,-9.692369874701457
1.8887138199353224,-1.8375818166170024,-9.378164673162692
1.6745820761641508,-2.4250419326528707,-8.07804431820676
1.4054022564672008,-2.9634435852490992,-7.173208239697094
1.0777671165159586,-3.625129028383627,-7.362440129375174
0.6701504967720893,-4.591056891852473,-8.485554040070046
0.14539024687904176,-5.971453109920122,-9.672780030752618
-0.5319705187468093,-7.559109045553424,-9.643364735681345
-1.3431512863542687,-8.424578082163718,-8.345288379617205
-2.149142123582546,-7.324187206827018,-7.198623136349688
-2.755864121258197,-4.722653540797671,-7.146755470147574
-3.1084886038150223,-2.5037824985951262,-8.174605069766127
-3.293644457912496,-1.3583838133276824,-9.541874603461283
-3.402801468816074,-0.8930882047115001,-9.87063128173575
-3.479430667076404,-0.6536692824000994,-8.66567807138965
-3.5350592108423076,-0.46640829234705405,-7.288274201878508
-3.575006447002843,-0.34760997565720453,-6.959882683723461
-3.6079356206025763,-0.32774525959894857,-7.836000448429324
-3.6434201133579895,-0.3917904038934304,-9.322938374297976
-3.6867503770123764,-0.46793047727881554,-10.04155007207407
-3.73405677376483,-0.45925287239035345,-9.034923843367542
-3.7755196631807593,-0.3619822079798034,-7.455144838168816
-3.806651138810493,-0.2691172655585652,-6.816102306098725
-3.8318619921001784,-0.24953068832489989,-7.48305692938731
-3.859254038520944,-0.3089201306489708,-9.015057884695782
-3.8945676728202523,-0.3938436195584509,-10.125712224034666
-3.9355997428752905,-0.4085118241399305,-9.437894538832088
-3.97285441646594,-0.3254494184623464,-7.711834734841771
-4.000290785330803,-0.2294852073399452,-6.732049870538716
-4.02098510556741,-0.19814184832609066,-7.131778084095282
-4.042631784504335,-0.2465011132772737,-8.624188000207193
-4.071698185235494,-0.3349851434868207,-10.092036293639886
-4.1078880283408825,-0.37221691626159104,-9.847357809960437
-4.14250318889258,-0.30569408192115305,-8.069424551145733
-4.167929220942533,-0.20626754046653695,-6.727669019526595
-4.185653990508917,-0.1612031496981952,-6.801009349144624
-4.202876365237332,-0.1957879431173848,-8.16366875824766
-4.226647184463599,-0.28331667369837005,-9.913528000360968
-4.258592381226219,-0.34188995329716576,-10.220555550476403
-4.291364199049499,-0.29611555037117043,-8.533886273930184
-4.315922076870394,-0.19498657546712644,-6.827129892705575
-4.3318239292947665,-0.1350329312665866,-6.513032062664278
-4.345595881042423,-0.1535093411873942,-7.654049280529741
-4.364696334620306,-0.2353183165216467,-9.573237144976638
-4.392559689564605,-0.31235171532374356,-10.49770499151537
-4.423775931544862,-0.292339077353096,-9.09940249685854
-4.4482870511264005,-0.19342684685082018,-7.0594417353376855
-4.463334678684998,-0.11807911838728957,-6.294921352882101
-4.474483807231571,-0.11832118309091001,-7.122469012386858
-4.489412900870212,-0.18961157312360086,-9.070097788113861
-4.513128212224487,-0.28008938145703427,-10.605373356202712
-4.542664284409873,-0.29044527590057473,-9.737258423121022
-4.567687174115006,-0.2002359151586309,-7.45766126856407
-4.582778649466545,-0.10995630169036927,-6.1810163797875575
-4.592097338113984,-0.08992699635984577,-6.602170456149581
-4.603339980591484,-0.14613062199504492,-8.422843322894845
-4.622760184675226,-0.24294136034403022,-10.46802964915712
-4.650128784507562,-0.28616339141484043,-10.380138937436064
-4.675921380133755,-0.21404814115888476,-8.054063436730718
-4.69193015470789,-0.11105029436472774,-6.2168102226845825
-4.700253630055511,-0.06874835262837418,-6.133081209528037
-4.708353075204599,-0.10568127451944066,-7.670559347533928
-4.723375628695033,-0.20023493807393178,-10.02880686045383
-4.747794285520331,-0.27466841968585987,-10.906186639373036
-4.774203129478085,-0.23256239348250118,-8.865636332512565
-4.791964279337559,-0.12226664082880212,-6.4640664000867565
-4.800239105219839,-0.05587667312610776,-5.764866462775282
-4.805854855104795,-0.06967283364451315,-6.869917538261842
-4.816529212000447,-0.15296931709074527,-9.274535028856198
-4.837051641416619,-0.25114908554728727,-11.137043456473142
-4.863357547706046,-0.25133601936246114,-9.85989699623348
-4.88355974526142,-0.14460489431020515,-7.004772513349474
-4.892907753233496,-0.05322347858040551,-5.564569524127521
-4.896880124200448,-0.040014832015758325,-6.091379142205921
-4.9034932919529135,-0.10375017063389333,-8.25335842163034
-4.919223526066111,-0.21234273531652617,-10.874748005290831
-4.944023350044692,-0.2624870615735755,-10.890644542306868
-4.966938012131008,-0.17803537396513452,-7.933919082796007
-4.978691521767218,-0.06380187067308064,-5.631899561477208
-4.98213750070539,-0.01927729299736692,-5.419178075298249
-4.985282127537485,-0.056389304277000625,-7.073388885670336
-4.995641014889868,-0.15863584973001837,-9.992387220081778
-5.016924378427513,-0.254562620848212,-11.619171701512496
-5.041904197141308,-0.2187137374814099,-9.308962960682033
-5.0575144658239175,-0.09185121687972897,-6.124559212334741
-5.061981055575292,-0.011305632672942129,-4.963240520423123
-5.062636973588577,-0.015430250663468332,-5.882996079056074
-5.067602227809944,-0.09532248272916324,-8.539412833385366
